coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,target,risk,num_trades,win_rate,total_net_profit,ending_capital,return_pct,max_drawdown_pct,profit_factor,expectancy,avg_win,avg_loss,exposure_pct
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,7,3.0,"ST1(14,2.0)+ST2(7,3.0)",1.5%,1:3,4.5%,1%,77,48.05,1415.37,11415.37,14.15,6.13,1.38,18.38,139.71,-93.85,58.13
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,14,2.0,"ST1(7,3.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,77,48.05,1415.37,11415.37,14.15,6.13,1.38,18.38,139.71,-93.85,58.13
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,10,2.0,"ST1(10,3.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,80,46.25,1361.98,11361.98,13.62,7.0,1.33,17.02,147.01,-94.83,58.48
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,10,3.0,"ST1(10,2.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,80,46.25,1361.98,11361.98,13.62,7.0,1.33,17.02,147.01,-94.83,58.48
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,14,2.0,"ST1(10,3.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,77,46.75,1347.78,11347.78,13.48,6.13,1.36,17.5,142.57,-92.32,59.18
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,10,3.0,"ST1(14,2.0)+ST2(10,3.0)",1.5%,1:3,4.5%,1%,77,46.75,1347.78,11347.78,13.48,6.13,1.36,17.5,142.57,-92.32,59.18
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,3.0,"ST1(10,2.0)+ST2(7,3.0)",1.5%,1:3,4.5%,1%,81,46.91,1347.17,11347.17,13.47,7.12,1.33,16.63,143.24,-95.26,57.85
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,10,2.0,"ST1(7,3.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,81,46.91,1347.17,11347.17,13.47,7.12,1.33,16.63,143.24,-95.26,57.85
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,4.0,12,2.0,"ST1(12,4.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,72,45.83,1325.36,11325.36,13.25,6.49,1.36,18.41,150.7,-93.53,50.02
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,12,4.0,"ST1(12,2.0)+ST2(12,4.0)",1.5%,1:3,4.5%,1%,72,45.83,1325.36,11325.36,13.25,6.49,1.36,18.41,150.7,-93.53,50.02
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,7,3.0,"ST1(12,2.0)+ST2(7,3.0)",1.5%,1:3,4.5%,1%,81,48.15,1317.32,11317.32,13.17,7.37,1.33,16.26,136.76,-95.62,57.19
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,12,2.0,"ST1(7,3.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,81,48.15,1317.32,11317.32,13.17,7.37,1.33,16.26,136.76,-95.62,57.19
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,3.5,"ST1(14,2.0)+ST2(12,3.5)",1.5%,1:3,4.5%,1%,67,46.27,1306.55,11306.55,13.07,5.29,1.4,19.5,147.77,-90.96,50.33
