coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,risk,sl_pct,rr_val,strategy,starting_capital,ending_capital,total_net_profit,return_pct,max_drawdown_inr,max_drawdown_pct,max_profit,max_loss,avg_win,avg_loss,largest_win,largest_loss,win_rate,loss_rate,profit_factor,expectancy,num_trades,winning_trades,losing_trades,breakeven_trades,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,recovery_factor,sharpe,sortino,calmar,exposure_pct,avg_duration_hours,max_duration_hours,min_duration_hours,gross_profit,gross_loss,target,File,oc,ot
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,3.0,14,2.0,"ST1(10,3.0)+ST2(14,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,3.0)+ST2(14,2.0)",10000,11347.78,1347.78,13.48,613.0,6.13,256.626,-92.32,142.57,-92.32,213.855,-92.32,46.75,53.25,1.36,17.5,77,36,41,0,2,2,1.5,1.5,0,0,0,0,59.18,1.5,5,0.5,5132.52,3785.12,4.5%,"SOL_INR_30m_ST1(10,3.0)+ST2(14,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,10,3.0,"ST1(14,2.0)+ST2(10,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(14,2.0)+ST2(10,3.0)",10000,11347.78,1347.78,13.48,613.0,6.13,256.626,-92.32,142.57,-92.32,213.855,-92.32,46.75,53.25,1.36,17.5,77,36,41,0,2,2,1.5,1.5,0,0,0,0,59.18,1.5,5,0.5,5132.52,3785.12,4.5%,"SOL_INR_30m_ST1(14,2.0)+ST2(10,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,3.0,"ST1(10,2.0)+ST2(7,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(10,2.0)+ST2(7,3.0)",10000,11347.17,1347.17,13.47,712.0,7.12,257.83200000000005,-95.26,143.24,-95.26,214.86,-95.26,46.91,53.09,1.33,16.63,81,38,43,0,2,2,1.5,1.5,0,0,0,0,57.85,1.5,5,0.5,5443.120000000001,4096.18,4.5%,"SOL_INR_30m_ST1(10,2.0)+ST2(7,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,10,2.0,"ST1(7,3.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(7,3.0)+ST2(10,2.0)",10000,11347.17,1347.17,13.47,712.0,7.12,257.83200000000005,-95.26,143.24,-95.26,214.86,-95.26,46.91,53.09,1.33,16.63,81,38,43,0,2,2,1.5,1.5,0,0,0,0,57.85,1.5,5,0.5,5443.120000000001,4096.18,4.5%,"SOL_INR_30m_ST1(7,3.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,4.0,12,2.0,"ST1(12,4.0)+ST2(12,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,4.0)+ST2(12,2.0)",10000,11325.36,1325.36,13.25,649.0,6.49,271.26,-93.53,150.7,-93.53,226.05,-93.53,45.83,54.17,1.36,18.41,72,33,39,0,2,2,1.5,1.5,0,0,0,0,50.02,1.5,5,0.5,4973.099999999999,3647.67,4.5%,"SOL_INR_30m_ST1(12,4.0)+ST2(12,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,12,4.0,"ST1(12,2.0)+ST2(12,4.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,2.0)+ST2(12,4.0)",10000,11325.36,1325.36,13.25,649.0,6.49,271.26,-93.53,150.7,-93.53,226.05,-93.53,45.83,54.17,1.36,18.41,72,33,39,0,2,2,1.5,1.5,0,0,0,0,50.02,1.5,5,0.5,4973.099999999999,3647.67,4.5%,"SOL_INR_30m_ST1(12,2.0)+ST2(12,4.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,7,3.0,"ST1(12,2.0)+ST2(7,3.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,2.0)+ST2(7,3.0)",10000,11317.32,1317.32,13.17,737.0,7.37,246.168,-95.62,136.76,-95.62,205.14,-95.62,48.15,51.85,1.33,16.26,81,39,42,0,2,2,1.5,1.5,0,0,0,0,57.19,1.5,5,0.5,5333.639999999999,4016.04,4.5%,"SOL_INR_30m_ST1(12,2.0)+ST2(7,3.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,12,2.0,"ST1(7,3.0)+ST2(12,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(7,3.0)+ST2(12,2.0)",10000,11317.32,1317.32,13.17,737.0,7.37,246.168,-95.62,136.76,-95.62,205.14,-95.62,48.15,51.85,1.33,16.26,81,39,42,0,2,2,1.5,1.5,0,0,0,0,57.19,1.5,5,0.5,5333.639999999999,4016.04,4.5%,"SOL_INR_30m_ST1(7,3.0)+ST2(12,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.5,14,2.0,"ST1(12,3.5)+ST2(14,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(12,3.5)+ST2(14,2.0)",10000,11306.55,1306.55,13.07,529.0,5.29,265.98600000000005,-90.96,147.77,-90.96,221.65500000000003,-90.96,46.27,53.73,1.4,19.5,67,31,36,0,2,2,1.5,1.5,0,0,0,0,50.33,1.5,5,0.5,4580.87,3274.56,4.5%,"SOL_INR_30m_ST1(12,3.5)+ST2(14,2.0)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,3.5,"ST1(14,2.0)+ST2(12,3.5)",1.5%,1:3,1%,1.5,3.0,"ST1(14,2.0)+ST2(12,3.5)",10000,11306.55,1306.55,13.07,529.0,5.29,265.98600000000005,-90.96,147.77,-90.96,221.65500000000003,-90.96,46.27,53.73,1.4,19.5,67,31,36,0,2,2,1.5,1.5,0,0,0,0,50.33,1.5,5,0.5,4580.87,3274.56,4.5%,"SOL_INR_30m_ST1(14,2.0)+ST2(12,3.5)_SL1.5pct_1-3",2,2
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,2.0,10,2.0,"ST1(7,2.0)+ST2(10,2.0)",1.5%,1:3,1%,1.5,3.0,"ST1(7,2.0)+ST2(10,2.0)",10000,11302.49,1302.49,13.02,985.0,9.85,258.75,-89.25,143.75,-89.25,215.625,-89.25,45.12,54.88,1.32,15.88,82,37,45,0,2,2,1.5,1.5,0,0,0,0,61.06,1.5,5,0.5,5318.75,4016.25,4.5%,"SOL_INR_30m_ST1(7,2.0)+ST2(10,2.0)_SL1.5pct_1-3",2,2
