trade_no,coin,timeframe,direction,entry_time,exit_time,entry_price_usd,entry_price_inr,stop_price_usd,target_price_usd,exit_price_usd,exit_price_inr,exit_reason,risk_pct,risk_inr,position_size_coin,position_size_inr,gross_pnl_inr,fees_inr,net_pnl_inr,net_pnl,equity_before,equity_after
28,BTC/INR,15m,LONG,2026-08-22 01:00:00+05:30,2026-08-23 00:00:00+05:30,77350.56,6458771.94,71162.52,95914.7,77256.64,6450929.56,INTRADAY_SQUAREOFF,0.015,152.71,0.000296,1908.82,-2.32,2.25,-4.57,-4.57,10180.37,10175.81
29,BTC/INR,15m,SHORT,2026-08-23 02:45:00+05:30,2026-08-24 00:00:00+05:30,76991.46,6428787.04,83150.78,58513.51,77376.25,6460916.62,INTRADAY_SQUAREOFF,0.015,152.64,0.000297,1907.96,-9.54,2.26,-11.79,-11.79,10175.81,10164.01
30,BTC/INR,15m,LONG,2026-08-24 01:15:00+05:30,2026-08-25 00:00:00+05:30,77468.71,6468637.7,71271.22,96061.21,78976.49,6594537.08,INTRADAY_SQUAREOFF,0.015,152.46,0.000295,1905.75,37.09,2.27,34.82,34.82,10164.01,10198.83
31,BTC/INR,15m,LONG,2026-08-25 02:15:00+05:30,2026-08-26 00:00:00+05:30,79022.7,6598395.66,72700.89,97988.15,79225.14,6615299.28,INTRADAY_SQUAREOFF,0.015,152.98,0.00029,1912.28,4.9,2.26,2.64,2.64,10198.83,10201.47
32,BTC/INR,15m,LONG,2026-08-26 11:00:00+05:30,2026-08-27 00:00:00+05:30,79096.11,6604524.89,72768.42,98079.17,78427.01,6548655.26,INTRADAY_SQUAREOFF,0.015,153.02,0.00029,1912.78,-16.18,2.25,-18.43,-18.43,10201.47,10183.05
33,BTC/INR,15m,SHORT,2026-08-27 01:45:00+05:30,2026-08-28 00:00:00+05:30,78360.93,6543137.88,84629.81,59554.31,79971.62,6677630.44,INTRADAY_SQUAREOFF,0.015,152.75,0.000292,1909.32,-39.25,2.28,-41.52,-41.52,10183.05,10141.52
34,BTC/INR,15m,LONG,2026-08-28 03:30:00+05:30,2026-08-29 00:00:00+05:30,80252.08,6701048.89,73831.92,99512.58,77525.69,6473395.48,INTRADAY_SQUAREOFF,0.015,152.12,0.000284,1901.54,-64.6,2.21,-66.81,-66.81,10141.52,10074.72
35,BTC/INR,15m,SHORT,2026-08-29 01:15:00+05:30,2026-08-30 00:00:00+05:30,77478.61,6469463.81,83676.9,58883.74,78087.59,6520314.15,INTRADAY_SQUAREOFF,0.015,151.12,0.000292,1889.01,-14.85,2.24,-17.09,-17.09,10074.72,10057.63
36,BTC/INR,15m,LONG,2026-08-30 04:00:00+05:30,2026-08-31 00:00:00+05:30,78196.57,6529413.67,71940.85,96963.75,78967.52,6593787.91,INTRADAY_SQUAREOFF,0.015,150.86,0.000289,1885.81,18.59,2.24,16.36,16.36,10057.63,10073.99
37,BTC/INR,15m,SHORT,2026-08-31 05:00:00+05:30,2026-09-01 00:00:00+05:30,77614.17,6480782.84,83823.3,58986.77,78929.44,6590608.66,INTRADAY_SQUAREOFF,0.015,151.11,0.000291,1888.87,-32.01,2.25,-34.26,-34.26,10073.99,10039.73
38,BTC/INR,15m,LONG,2026-09-01 03:00:00+05:30,2026-09-02 00:00:00+05:30,78996.47,6596205.3,72676.75,97955.62,76975.79,6427478.44,INTRADAY_SQUAREOFF,0.015,150.6,0.000285,1882.45,-48.15,2.19,-50.34,-50.34,10039.73,9989.39
39,BTC/INR,15m,SHORT,2026-09-02 02:45:00+05:30,2026-09-03 00:00:00+05:30,76999.86,6429488.61,83159.85,58519.9,77462.24,6468096.64,INTRADAY_SQUAREOFF,0.015,149.84,0.000291,1873.01,-11.25,2.22,-13.46,-13.46,9989.39,9975.92
40,BTC/INR,15m,LONG,2026-09-03 10:30:00+05:30,2026-09-04 00:00:00+05:30,77802.96,6496547.17,71578.72,96475.67,80908.24,6755837.75,INTRADAY_SQUAREOFF,0.015,149.64,0.000288,1870.49,74.65,2.25,72.4,72.4,9975.92,10048.33
41,BTC/INR,15m,LONG,2026-09-04 01:30:00+05:30,2026-09-05 00:00:00+05:30,81853.22,6834743.76,75304.96,101497.99,79516.95,6639665.17,INTRADAY_SQUAREOFF,0.015,150.72,0.000276,1884.06,-53.78,2.19,-55.97,-55.97,10048.33,9992.36
42,BTC/INR,15m,SHORT,2026-09-05 06:30:00+05:30,2026-09-06 00:00:00+05:30,79534.68,6641145.91,85897.46,60446.36,79998.25,6679854.09,INTRADAY_SQUAREOFF,0.015,149.89,0.000282,1873.57,-10.92,2.22,-13.14,-13.14,9992.36,9979.22
43,BTC/INR,15m,LONG,2026-09-07 08:00:00+05:30,2026-09-08 00:00:00+05:30,80071.01,6685929.14,73665.33,99288.05,79103.37,6605131.06,INTRADAY_SQUAREOFF,0.015,149.69,0.00028,1871.1,-22.61,2.19,-24.81,-24.81,9979.22,9954.42
44,BTC/INR,15m,SHORT,2026-09-08 01:45:00+05:30,2026-09-09 00:00:00+05:30,79148.87,6608931.02,85480.78,60153.14,78762.9,6576702.22,INTRADAY_SQUAREOFF,0.015,149.32,0.000282,1866.45,9.1,2.2,6.9,6.9,9954.42,9961.32
45,BTC/INR,15m,LONG,2026-09-09 01:45:00+05:30,2026-09-10 00:00:00+05:30,78656.21,6567793.28,72363.71,97533.7,78567.45,6560381.79,INTRADAY_SQUAREOFF,0.015,149.42,0.000284,1867.75,-2.11,2.2,-4.31,-4.31,9961.32,9957.01
46,BTC/INR,15m,SHORT,2026-09-10 01:15:00+05:30,2026-09-11 00:00:00+05:30,78240.4,6533073.34,84499.63,59462.7,77067.49,6435135.5,INTRADAY_SQUAREOFF,0.015,149.36,0.000286,1866.94,27.99,2.19,25.8,25.8,9957.01,9982.81
47,BTC/INR,15m,SHORT,2026-09-11 04:00:00+05:30,2026-09-12 00:00:00+05:30,77009.94,6430330.37,83170.74,58527.56,77227.7,6448513.28,INTRADAY_SQUAREOFF,0.015,149.74,0.000291,1871.78,-5.29,2.21,-7.5,-7.5,9982.81,9975.31
48,BTC/INR,15m,LONG,2026-09-12 17:30:00+05:30,2026-09-13 00:00:00+05:30,77380.7,6461288.64,71190.25,95952.07,77146.66,6441745.89,INTRADAY_SQUAREOFF,0.015,149.63,0.000289,1870.37,-5.66,2.2,-7.86,-7.86,9975.31,9967.45
49,BTC/INR,15m,SHORT,2026-09-13 01:15:00+05:30,2026-09-14 00:00:00+05:30,77011.04,6430421.65,83171.92,58528.39,77337.67,6457695.69,INTRADAY_SQUAREOFF,0.015,149.51,0.000291,1868.9,-7.93,2.21,-10.14,-10.14,9967.45,9957.31
50,BTC/INR,15m,LONG,2026-09-14 01:45:00+05:30,2026-09-15 00:00:00+05:30,77317.09,6455977.21,71131.72,95873.19,79108.83,6605587.48,INTRADAY_SQUAREOFF,0.015,149.36,0.000289,1867.0,43.27,2.23,41.04,41.04,9957.31,9998.35
51,BTC/INR,15m,LONG,2026-09-15 01:45:00+05:30,2026-09-16 00:00:00+05:30,79242.6,6616757.23,72903.19,98260.83,76857.9,6417634.93,INTRADAY_SQUAREOFF,0.015,149.98,0.000283,1874.69,-56.42,2.18,-58.6,-58.6,9998.35,9939.75
52,BTC/INR,15m,SHORT,2026-09-16 02:00:00+05:30,2026-09-17 00:00:00+05:30,75623.78,6314585.51,81673.68,57474.07,75993.11,6345424.72,INTRADAY_SQUAREOFF,0.015,149.1,0.000295,1863.7,-9.1,2.2,-11.31,-11.31,9939.75,9928.44
53,BTC/INR,15m,LONG,2026-09-17 07:00:00+05:30,2026-09-18 00:00:00+05:30,76620.36,6397800.17,70490.73,95009.25,76643.3,6399715.53,INTRADAY_SQUAREOFF,0.015,148.93,0.000291,1861.58,0.56,2.2,-1.64,-1.64,9928.44,9926.8
54,BTC/INR,15m,SHORT,2026-09-18 02:15:00+05:30,2026-09-19 00:00:00+05:30,76393.38,6378847.06,82504.85,58058.97,81021.97,6765334.27,INTRADAY_SQUAREOFF,0.015,148.9,0.000292,1861.28,-112.77,2.26,-115.04,-115.04,9926.8,9811.77
55,BTC/INR,15m,LONG,2026-09-19 00:45:00+05:30,2026-09-20 00:00:00+05:30,81238.74,6783434.76,74739.64,100736.04,81389.79,6796047.68,INTRADAY_SQUAREOFF,0.015,147.18,0.000271,1839.71,3.42,2.17,1.25,1.25,9811.77,9813.02
56,BTC/INR,15m,LONG,2026-09-20 01:45:00+05:30,2026-09-21 00:00:00+05:30,81454.71,6801468.03,74938.33,101003.84,81213.1,6781293.82,INTRADAY_SQUAREOFF,0.015,147.2,0.000271,1839.94,-5.46,2.17,-7.63,-7.63,9813.02,9805.39
57,BTC/INR,15m,LONG,2026-09-21 03:45:00+05:30,2026-09-22 00:00:00+05:30,81316.21,6789903.38,74810.91,100832.1,85899.52,7172610.0,INTRADAY_SQUAREOFF,0.015,147.08,0.000271,1838.51,103.63,2.23,101.4,101.4,9805.39,9906.79
58,BTC/INR,15m,LONG,2026-09-22 00:30:00+05:30,2026-09-23 00:00:00+05:30,86119.73,7190997.11,79230.15,106788.46,86272.69,7203769.92,INTRADAY_SQUAREOFF,0.015,148.6,0.000258,1857.52,3.3,2.19,1.11,1.11,9906.79,9907.89
59,BTC/INR,15m,LONG,2026-09-23 05:45:00+05:30,2026-09-24 00:00:00+05:30,86418.72,7215963.04,79505.22,107159.21,84174.06,7028534.33,END_OF_DATA,0.015,148.62,0.000257,1857.73,-48.25,2.16,-50.42,-50.42,9907.89,9857.48
