strategy,coin,timeframe,params,rr,risk_pct,trades,win_rate,net_profit_inr,final_capital_inr,max_dd_inr,max_dd_pct,profit_factor,expectancy,max_win_streak,max_loss_streak,sharpe,exposure
DOUBLE,BTC/USDT,1h,F14x2.0_S20x3.5,1:2,1.0,149,33.56,-1993.94,8006.06,2695.1,25.19,0.81,-13.38,5,13,-8.3,57.15
DOUBLE,BTC/USDT,1h,F14x2.0_S20x3.5,1:3,1.0,140,25.71,-1890.67,8109.33,1941.78,19.42,0.82,-13.5,3,13,-6.59,61.61
DOUBLE,BTC/USDT,1h,F14x2.0_S30x3.0,1:2,1.0,180,30.0,-3707.5,6292.5,3866.84,38.67,0.67,-20.6,4,11,-15.32,59.34
DOUBLE,BTC/USDT,1h,F14x2.0_S30x3.0,1:3,1.0,157,20.38,-4065.22,5934.78,4167.64,41.68,0.63,-25.89,3,16,-16.7,65.01
DOUBLE,BTC/USDT,1h,F14x2.5_S20x2.5,1:2,1.0,204,36.27,-1307.45,8692.55,1974.04,19.74,0.9,-6.41,4,8,-3.39,66.34
DOUBLE,BTC/USDT,1h,F14x2.5_S20x2.5,1:3,1.0,151,31.13,1082.7,11082.7,1460.75,14.46,1.09,7.17,5,9,3.77,74.65
DOUBLE,BTC/USDT,1h,F14x2.5_S20x3.5,1:2,1.0,120,36.67,-334.18,9665.82,1698.86,14.95,0.96,-2.78,4,12,-1.05,56.01
DOUBLE,BTC/USDT,1h,F14x2.5_S20x3.5,1:3,1.0,104,23.08,-1961.5,8038.5,2033.78,20.34,0.75,-18.86,3,12,-9.62,58.78
DOUBLE,BTC/USDT,1h,F14x2.5_S30x3.0,1:2,1.0,161,35.4,-1384.86,8615.14,2190.43,20.27,0.88,-8.6,4,10,-4.84,60.41
DOUBLE,BTC/USDT,1h,F14x2.5_S30x3.0,1:3,1.0,130,26.92,-1039.41,8960.59,2117.48,21.09,0.89,-8.0,3,11,-3.31,70.48
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.0_S20x3.0,1:2,1.0,278,32.37,-4708.3,5291.7,5044.5,48.8,0.69,-16.94,4,16,-14.08,35.11
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.0_S20x3.0,1:3,1.0,249,23.29,-4956.06,5043.94,5116.58,50.36,0.67,-19.9,4,16,-13.98,40.76
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.0_S20x3.5,1:2,1.0,261,32.95,-4313.52,5686.48,4632.36,44.89,0.7,-16.53,5,11,-13.22,33.78
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.0_S20x3.5,1:3,1.0,232,25.43,-3691.71,6308.29,3691.71,36.92,0.75,-15.91,5,19,-9.53,42.2
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.0_S30x3.0,1:2,1.0,284,31.69,-4841.7,5158.3,5255.72,50.47,0.69,-17.05,4,13,-14.22,37.28
TRIPLE,BTC/USDT,1h,F7x1.5_M14x2.0_S30x3.0,1:3,1.0,247,22.27,-5122.64,4877.36,5122.64,51.23,0.65,-20.74,4,13,-14.81,43.65
